page_name,Sum of impressions,Sum of spend,delivery_by_region,ad_creative_bodies,ad_creative_link_captions,ad_creative_link_descriptions,ad_creative_link_titles,byline,performance
Kamala Harris,77000,699,Michigan,"When auto plants were closing,Trump sided with the CEOs and sold out autoworkers. Under Kamala Harris’ leadership, 20 new auto plants have opened and zero have closed. It’s clear Kamala will protect American jobs.",kamalaharris.com,,We can trust Kamala Harris,HARRIS FOR PRESIDENT,110.1573677
Kamala Harris,275000,2499,Michigan,"As President, Kamala Harris will build a better economy for all – by lowering the price of housing, banning price gouging on groceries, and providing tax cuts for new businesses.",kamalaharris.com,,Harris will build a better economy,HARRIS FOR PRESIDENT,110.0440176
Kamala Harris,275000,2500,Michigan,The American people are ready to turn the page on Trump’s chaos.,kamalaharris.com,,,HARRIS FOR PRESIDENT,110
Kamala Harris,104000,949.5,Michigan,Trump said it himself – he’ll cut taxes for the people who are “rich as hell.” Kamala Harris will cut taxes for middle class families.,kamalaharris.com,,,HARRIS FOR PRESIDENT,109.5313323
Kamala Harris,1100499.5,10049.5,Michigan,Our fight is a fight for the future. Donald Trump’s fight is a fight for himself.,kamalaharris.com,,We are not going back,HARRIS FOR PRESIDENT,109.507886
Kamala Harris,1052999,9648.5,Michigan,Kamala Harris is fighting for a better future. Donald Trump is fighting for himself.,kamalaharris.com,,,HARRIS FOR PRESIDENT,109.1360315
Kamala Harris,550499.5,5049.5,Michigan,Our fight is a fight for the future. Donald Trump’s fight is a fight for himself.,kamalaharris.com,,,HARRIS FOR PRESIDENT,109.0205961
Kamala Harris,125000,1148.5,Michigan,Kamala Harris credits her mother for teaching her to fight injustice.,nbcnews.com,"“She taught us to never complain about injustice but to do something about it, Harris said of her mother during her DNC speech.",Who is Shyamala Gopalan? Kamala Harris invokes her Indian mother in DNC speech,HARRIS FOR PRESIDENT,108.8376143
Kamala Harris,600499.5,5549.5,Michigan,"Kamala Harris has a plan to lower costs. A Harris presidency will make it easier to buy a house, afford groceries, and pay the bills. Among her plans is to give $25k to first-time homebuyers so they can get their foot in the door.",kamalaharris.com,,Kamala Harris: $25k for first-time homebuyers,HARRIS FOR PRESIDENT,108.2078566
Kamala Harris,2237000,20798,Michigan,"Vice President Harris’ mother taught her to never complain about injustice, but do something about it – and that’s exactly what she’s done her entire career.",kamalaharris.com,"Vice President Kamala Harris has devoted her career to fighting for the people. As the daughter of parents who brought her to civil rights marches in a stroller, she was inspired to tackle injustice from an early age. She took that mission to county courtrooms, the California Attorney General’s of...",VP Harris Fights for the People,HARRIS FOR PRESIDENT,107.5584191
Kamala Harris,16000,149.5,Michigan,"Donald Trump brags about ending Roe v. Wade, and his Project 2025 agenda would ban abortion nationwide. We can’t let that happen.",kamalaharris.com,,,HARRIS FOR PRESIDENT,107.0234114
Kamala Harris,32000,299,Michigan,Trump only cares about lowering costs for his billionaire friends. Kamala Harris cares about lowering costs for YOU.,kamalaharris.com,,Kamala Harris fights for families,HARRIS FOR PRESIDENT,107.0234114
