page_name,Sum of impressions,Sum of spend,delivery_by_region,ad_creative_bodies,ad_creative_link_captions,ad_creative_link_descriptions,ad_creative_link_titles,byline,performance
Kamala Harris,22000,249.5,Nevada,"First, Trump bragged about overturning Roe v. Wade, unleashing dangerous and cruel abortion bans across the country. Now, he’s running to enact his extreme Project 2025 agenda, ban abortion nationwide, restrict access to birth control, and criminalize doctors.",kamalaharris.com,,Trump wants to ban abortion nationwide,HARRIS FOR PRESIDENT,88.17635271
Kamala Harris,396000,4499,Nevada,Don’t be one of those people. Get out there and vote.,iwillvote.com,,Don’t let it happen to you,HARRIS FOR PRESIDENT,88.0195599
Kamala Harris,17499.5,199,Nevada,"Kamala Harris has a plan to lower costs. A Harris presidency will make it easier to buy a house, afford groceries, and pay the bills. Among her plans is to give $25k to first-time homebuyers so they can get their foot in the door.",kamalaharris.com,,Kamala Harris: $25k for first-time homebuyers,HARRIS FOR PRESIDENT,87.93718593
Kamala Harris,70000,798,Nevada,"After a violation of their bodies, survivors of rape and incest are being told they cannot make decisions about what happens to them next—all because of Trump Abortion Bans.
This is immoral. Women and girls deserve better.",kamalaharris.com,,,HARRIS FOR PRESIDENT,87.71929825
Kamala Harris,489000,5599,Nevada,"Kamala Harris lucha por la gente – ya sean estudiantes, padres, dueños de negocios pequeños o nuestro personal de las fuerzas armadas.",kamalaharris.com,,"Cuando luchamos, ganamos",HARRIS FOR PRESIDENT,87.33702447
Kamala Harris,575499.5,6649.5,Nevada,Donald Trump has made his anti-reproductive freedom agenda clear: he has said that women who have an abortion should face “punishment.” Kamala Harris is fighting for reproductive freedom.,kamalaharris.com,,,HARRIS FOR PRESIDENT,86.54778555
Kamala Harris,134000,1549.5,Nevada,,kamalaharris.com,"Vice President Kamala Harris has devoted her career to fighting for the people. As the daughter of parents who brought her to civil rights marches in a stroller, she was inspired to tackle injustice from an early age. She took that mission to county courtrooms, the California Attorney General’s of...",Kamala Harris - Kamala Harris for President: Official Campaign Website,HARRIS FOR PRESIDENT,86.47950952
Kamala Harris,82000,948.5,Nevada,Donald Trump only ever fights for himself. Kamala Harris always fights for the people.,kamalaharris.com,,,HARRIS FOR PRESIDENT,86.45229309
Kamala Harris,103000,1200,Nevada,,stopaapihate.org,,,HARRIS FOR PRESIDENT,85.83333333
Kamala Harris,973481.5,11361,Nevada,This is a close election and every vote matters. Don't sit on the sidelines.,iwillvote.com,,,HARRIS FOR PRESIDENT,85.68625121
Kamala Harris,17000,199,Nevada,"Donald Trump said it best: He doesn’t care about you. Meanwhile, Vice President Harris has always fought for middle class families.",kamalaharris.com,,Trump doesn’t care about you,HARRIS FOR PRESIDENT,85.42713568
Kamala Harris,725000,8500,Nevada,There’s only one candidate in this race you can trust to protect reproductive freedom: Vice President Kamala Harris.,kamalaharris.com,,,HARRIS FOR PRESIDENT,85.29411765
Kamala Harris,1073996,12644.5,Nevada,,iwillvote.com,Be a voter. Find everything you need to vote in your state's next election.,I Will Vote,HARRIS FOR PRESIDENT,84.93779904
Kamala Harris,843494.5,9934.5,Nevada,Ours is a fight for the future. Donald Trump’s is a fight for himself.,iwillvote.com,,,HARRIS FOR PRESIDENT,84.90558156
Kamala Harris,390000,4600,Nevada,"Vice President Kamala Harris said: “America, the path that led me here in recent weeks was no doubt unexpected. But I’m no stranger to unlikely journeys. My mother, Shyamala Harris, had one of her own. I miss her every day — especially now.”",nytimes.com,"The definitional power of parenthood has been an unofficial theme of the Democratic convention this week. And Shyamala Gopalan Harris, the vice president’s mother, is a main character.","Harris Leans on Memory of Her Mother, as She Reintroduces Herself",HARRIS FOR PRESIDENT,84.7826087
Kamala Harris,1393000,16500,Nevada,"Vice President Harris’ mother taught her to never complain about injustice, but do something about it – and that’s exactly what she’s done her entire career.",kamalaharris.com,"Vice President Kamala Harris has devoted her career to fighting for the people. As the daughter of parents who brought her to civil rights marches in a stroller, she was inspired to tackle injustice from an early age. She took that mission to county courtrooms, the California Attorney General’s of...",VP Harris Fights for the People,HARRIS FOR PRESIDENT,84.42424242
Kamala Harris,1570000,18600,Nevada,"If it were up to Donald Trump, he would end the Affordable Care Act and rip away health care from millions of people. We simply can’t let that happen.",kamalaharris.com,,Our health care is on the line,HARRIS FOR PRESIDENT,84.40860215
Kamala Harris,568496.5,6790,Nevada,,kamalaharris.com,"Together, we can finish the job for the American people. Are you with us? Join our campaign to elect Kamala Harris today!",Meet Vice President Kamala Harris - Kamala Harris for President: Official Campaign Website,HARRIS FOR PRESIDENT,83.72555228
Kamala Harris,75000,900,Nevada,,www.nytimes.com,,,HARRIS FOR PRESIDENT,83.33333333
Kamala Harris,25000,300,Nevada,"After a violation of their bodies, survivors of rape and incest are being told they cannot make decisions about what happens to them next—all because of Trump Abortion Bans.
This is immoral. Women and girls deserve better.",kamalaharris.com,,Trump took away reproductive freedom,HARRIS FOR PRESIDENT,83.33333333
Kamala Harris,75000,900,Nevada,"As a former prosecutor, Attorney General, Senator, and Vice President, Kamala Harris has always fought for the people. She’s the only candidate fit to lead our nation.",kamalaharris.com,,We can trust Kamala Harris,HARRIS FOR PRESIDENT,83.33333333
Kamala Harris,100000,1200,Nevada,Kamala Harris credits her mother for teaching her to fight injustice.,nbcnews.com,"“She taught us to never complain about injustice but to do something about it, Harris said of her mother during her DNC speech.",Who is Shyamala Gopalan? Kamala Harris invokes her Indian mother in DNC speech,HARRIS FOR PRESIDENT,83.33333333
Kamala Harris,475000,5700,Nevada,More than one in three women of reproductive age live in a state with a Trump Abortion Ban. Kamala Harris is fighting for EVERY woman in America to have  access to reproductive health care.,kamalaharris.com,,Kamala Harris is fighting to restore reproductive freedom,HARRIS FOR PRESIDENT,83.33333333
